Title,Full Address,Latitude,Longitude,Group,Marche,Address,City,State,Zipcode
Scarpe&Scarpe - Castel Romano,V. Ponte di Piscina Cupa Castel Romano (RO) Lazio Italy 128 ,41.717714,12.4470162,"CC""Shopping Village""",Marche,V. Ponte di Piscina Cupa,Castel Romano (RO) Lazio,Italy,128
Scarpe&Scarpe - Roma,V.Torre di Mezzavia 35 Roma (RM) Lazio Italy 173 ,41.8383045,12.594352,"CC""Anagnina""",Marche,V.Torre di Mezzavia 35,Roma (RM) Lazio,Italy,173
Scarpe&Scarpe - Roma,V. M.Pandolfi De Rinaldis 28 ROMA (RM) Lazio Italy 173 ,41.8431785,12.6210838,"CC""Tor Vergata""",Marche,V. M.Pandolfi De Rinaldis 28,ROMA (RM) Lazio,Italy,173
Scarpe&Scarpe - Roma,Via dei Sampieri 92 Roma (RM) Lazio Italy 148 ,41.8526309,12.4165488,"CC""Casetta Mattei"" - Unità 23",Marche,Via dei Sampieri 92,Roma (RM) Lazio,Italy,148
Aley Scarpe&Scarpe - Roma Tuscolana,"Via Tuscolana, 815 Roma (RM) Lazio Italy 179 ",41.8591765,12.558596,,Marche,"Via Tuscolana, 815",Roma (RM) Lazio,Italy,179
Scarpe&Scarpe - Bastia Umbra,V.S.Padre Pio 25 Bastia Umbra (PG) Umbria Italy 6080 ,43.081135,12.4943716,,Marche,V.S.Padre Pio 25,Bastia Umbra (PG) Umbria,Italy,6080
Scarpe&Scarpe - Salerno,V.S.Leonardo 49 Salerno (SA) Campania Italy 84100 ,40.6522506,14.820382,,Marche,V.S.Leonardo 49,Salerno (SA) Campania,Italy,84100
Scarpe&Scarpe - Cascina,V. Oristano 201 Loc.Navacchio CASCINA (PI) Toscana Italy 56021 ,43.678487,10.476365,,Marche,V. Oristano 201 Loc.Navacchio,CASCINA (PI) Toscana,Italy,56021
Scarpe&Scarpe - Marcianise,"Strada Statale, 87 Loc. Aurno MARCIANISE (CE) Campania Italy 81025 ",41.0037699,14.3280957,"CC""Campania""",Marche,"Strada Statale, 87 Loc. Aurno",MARCIANISE (CE) Campania,Italy,81025
Scarpe&Scarpe - Foligno,Strada Statale 3 Flaminia FOLIGNO (PG) Umbria Italy 6034 ,42.9838579,12.7239332,,Marche,SS 3 Flaminia KM 147,FOLIGNO (PG) Umbria,Italy,6034
Scarpe&Scarpe - Montecatini,V. Biscolla 48 MASSA E COZZILE (PT) Toscana Italy 51010 ,43.8613281,10.7648985,"CC""Montecatini""",Marche,V. Biscolla 48,MASSA E COZZILE (PT) Toscana,Italy,51010
Scarpe&Scarpe - Campi Bisenzio,V. Fratelli Cervi 24-26 Campi Bisenzio (FI) Toscana Italy 50013 ,43.8457658,11.1403639,,Marche,V. Fratelli Cervi 24-26,Campi Bisenzio (FI) Toscana,Italy,50013
Scarpe&Scarpe - Civitanova Marche,"Via S. Costantino, 98 Civitanova Marche (MC) Marche Italy 62012 ",43.2936285,13.7009709,"CC""Il Cuore Adriatico""",Marche,"Via S. Costantino, 98",Civitanova Marche (MC) Marche,Italy,62012
